ID,INGREDIENTES,PRECIO,COMENTARIOS,MATERIA_SECA_(%),HUMEDAD_(%),CENIZAS_(%),PB_(%),EE_(%),EE_VERD_(%),FB_(%),FND_(%),FAD_(%),LAD_(%),ALMIDON_(%),AZUCARES_(%),SUMA_(%),C14:0_(%),C16:0_(%),C16:1_(%),C18:0_(%),C18:1_(%),C18:2_(%),C18:3_(%),C>20_(%),Ca_(%),P_(%),Pftico_(%),Pdisp_AVES_(%),Pdig_AVES_(%),Pdig_PORC_(%),Na_(%),Cl_(%),Mg_(%),K_(%),S_(%),Cu_(ppm),Fe_(ppm),Mn_(ppm),Zn_(ppm),Vit_E_(ppm),Biotina_(ppm),Colina_(ppm),EM_RTES_(Kcal_kg),UFL_(UF_kg),UFC_(UF_kg),ENL_RTES_(Kcal_kg),ENM_RTES_(Kcal_kg),ENC_RTES_(Kcal_kg),ALM_SOLUBLE_(%),ALM_DEGRAD_(%),ED_PORC_(Kcal_kg),EM_PORC_(Kcal_kg),EN_PORC_(Kcal_kg),EN_CERDAS_(Kcal_kg),EMA_POLLIT_(Kcal_kg),EMA_AVES _(Kcal_kg),ED_CONEJOS_(Kcal_kg),ED_CABALLO_(Kcal_kg),PBDIG_RUM_(%),PBDIG_PORC_(%),PBDIG_AVES_(%),PBDIG_CON_(%),PBDIG_CAB_(%),PDIA_(%),PDIE_(%),PDIN_(%),LYS_(%PDIE),MET_(%PDIE),LYS_(%),MET_(%),M+C_(%),THR_(%),TRP_(%),ILE_(%),VAL_(%),ARG_(%),GLYeq_(%),LYS_DIA_(%),MET_DIA_(%),M+C_DIA_(%),THR_DIA_(%),TRP_DIA_(%),ILE_DIA_(%),VAL_DIA_(%),ARG_DIA_(%),GLYeq_DIA_(%),LYS_DIS_(%),MET_DIS_(%),M+C_DIS_(%),THR_DIS_(%),TRP_DIS_(%),ILE_DIS_(%),VAL_DIS_(%),ARG_DIS_(%),GLYeq_DIS_(%),LYS_DR_(%),MET_DR_(%),M+C_DR_(%),THR_DR_(%),TRP_DR_(%),ILE_DR_(%),VAL_DR_(%),ARG_DR_(%),GLYeq_DR_(%)
205,FOSFATO MONOBICALCICO,,,98.0,2,83,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,20.5,21.5,0,18.5,17.4,17.2,0.18,0.3,0.65,0.13,0.7,9,4000,.,.,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,FOSFATO MONOCALCICO MONOHIDR.,,,98.0,2,78,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,16.9,22.7,0,20.65,19.07,18.84,0.18,0.3,0.6,0.13,0.65,8,4000,.,.,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,FOSFATO MONOSODICO MONOHIDR.,,,98.5,1.5,81,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,22.5,0,22.5,20.5,20.03,18.5,0.01,.,0.01,0.015,.,10,.,.,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,FOSFATO SîDICO CçLCICO,,,98.5,1.5,98,,0.0,0,,,,,,,,,,,,,,,,19.0,20.0,0,17.2,.,15.6,5.0,0.03,0.64,0.12,0.75,12,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0
209,FOSFATO MAGNESIO HIDR.,,,97.5,2.5,76,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,1.0,14.0,0,11.9,.,.,0.19,0.08,26,0.1,0.3,.,.,.,.,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,"FOSFATO TRIPLE Na, Ca, Mg",,,,.,.,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,8.25,17.5,0,11.9,.,.,13.0,.,5,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,FOSFATO MONOAMONICO,,,99.5,0.5,.,68.8,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.4,26.4,0,26.14,.,.,0.09,.,0.5,0.15,0.75,10,7500,.,.,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,OXIDO MAGNESIO (magnesita calcinada),,,,.,.,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,5.75,0.0,0,0,0,0,0.0,0,50,0,0,0,15500,.,.,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,SULFATO MAGNESIO anhidro,,,99.5,0.5,.,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,19.7,0,26.1,0,0,.,.,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,SULFATO MAGNESIO heptahidrato,,,,.,.,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.06,9.8,0,12.8,30,0,.,.,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,CLORURO MAGNESIO hexahidrato,,,,.,.,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,34,11.8,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,PROPIONATO MAGNESIO dihidratado,,,,.,.,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,11.5,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,CLORURO SODICO MARINO 98,,,99.8,0.2,98,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,39.6,59.4,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,CLORURO SODICO MINA 92,,,99.3,0.7,92,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,36.8,55.2,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,CLORURO SODICO MINA 96,,,99.3,0.7,96,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,38.4,57.6,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,CLORURO SODICO MINA 99,,,99.8,0.2,96,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,39.6,59.4,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,BICARBONATO SODICO,,,99.8,0.2,99,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,27.1,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,CARBONATO SODIO,,,99.2,0.8,99,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,43.0,0.15,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,SULFATO SODICO,,,99.8,0.2,99,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,32.2,0.02,0,0,22.4,0,0,.,.,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,UREA,,,99.0,1,0.7,287.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,.,.,.,.,.,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,SULFATO DE AMONIO,,,99.2,0.8,.,130.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,19.0,0,18.05,16.72,19.8,0.0,0,0,0,23.8,0,0,.,.,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,.,.,.,.,.,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,CLORURO AMONICO,,,99.1,0.9,0.6,163.6,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,65.7,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,.,.,.,.,.,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,DL METIONINA,,,99.5,0.5,0.5,58.4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,21.2,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,5640,5350,3800,3800,4400,4400,5640,.,58.4,58.4,58.4,58.4,58.4,.,.,.,.,.,0,99,99,0,0,0,0,0,0,0,99,99,0,0,0,0,0,0,0,99,99,0,0,0,0,0,0,0,99,99,0,0,0,0,0,0
228,L METIONINA,,,99.5,0.5,0.5,58.4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,21.2,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,5640,5350,3800,3800,4400,4400,5640,.,58.4,58.4,58.4,58.4,58.4,.,.,.,.,.,0,99,99,0,0,0,0,0,0,0,99,99,0,0,0,0,0,0,0,99,99,0,0,0,0,0,0,0,99,99,0,0,0,0,0,0
229,DL-MET SODICA,,,46.0,54,6.5,23.6,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,6.2,0,0,0,8.6,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,2260,2140,1520,1520,1760,1760,2260,.,23.6,23.6,23.6,23.6,23.6,.,.,.,.,.,0,40,40,0,0,0,0,0,0,0,40,40,0,0,0,0,0,0,0,40,40,0,0,0,0,0,0,0,40,40,0,0,0,0,0,0
230,HIDROXI-ANAL MET,,,88.0,12,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,18.7,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,4980,4980,3585,3585,3900,3900,4980,.,0,0,0,0,0,.,.,.,.,.,0,88,88,0,0,0,0,0,0,0,88,88,0,0,0,0,0,0,0,88,88,0,0,0,0,0,0,0,88,88,0,0,0,0,0,0
231,MET HIDROXI SAL CALCICA,,,99.0,1,18,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,11.9,0.0,0,0,0,0,0.0,0,0,0,18.6,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,4730,4730,3405,3405,3705,3705,4730,.,0,0,0,0,0,.,.,.,.,.,0,84,84,0,0,0,0,0,0,0,84,84,0,0,0,0,0,0,0,84,84,0,0,0,0,0,0,0,84,84,0,0,0,0,0,0
232,L-LISINA HCL,,,99.5,0.5,0.3,94.4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,19.2,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,4820,4400,3200,3200,3730,3730,4800,.,94.4,94.4,94.4,94.4,94.4,.,.,.,.,.,78,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0
233,L-LISINA 50,,,54.0,46,0.3,60.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.1,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,3025,2750,2000,2000,2330,2330,3000,.,60,60,60,60,60,.,.,.,.,.,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0
234,SULFATO DE L-LISINA,,,96.0,4,4,80.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.11,0,0,0,0,0.0,0,0,0,7,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,4158,3951,2964,2964,3794,3794,4400,.,80,80,80,80,80,.,.,.,.,.,54.7,0,0,0,0,0,0,0,0,54.7,0,0,0,0,0,0,0,0,54.7,0,0,0,0,0,0,0,0,54.7,0,0,0,0,0,0,0,0
235,L-TREONINA,,,99.5,0.5,0.5,72.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.05,0.2,0,0.05,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,4120,3790,2900,2900,3240,3240,4100,.,72.5,72.5,72.5,72.5,72.5,.,.,.,.,.,0,0,0,98,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,98,0,0,0,0,0
236,L-TRIPTOFANO,,,99.4,0.6,0.7,84.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.15,0.2,0,0.2,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,6500,6100,4700,4700,5400,5400,6500,.,85.2,85.2,85.2,85.2,85.2,.,.,.,.,.,0,0,0,0,98,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,98,0,0,0,0
237,L-VALINA,,,99.0,1,0.5,72.4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.3,0.0,0,0,0,0,0.0,0.05,0,0.2,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,5800,5275,4070,4070,5100,5100,.,.,74.8,74.8,74.8,74.8,74.8,.,.,.,.,.,0,0,0,0,0,0,96.5,0,0,0,0,0,0,0,0,96.5,0,0,0,0,0,0,0,0,96.5,0,0,0,0,0,0,0,0,96.5,0,0
238,L-ARGININA,,,99.5,0.5,0.1,196.9,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,4300,3700,2650,2650,2980,2980,.,.,196.9,196.9,196.9,196.9,196.9,.,.,.,.,.,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,98,0
239,L-ISOLEUCINA,,,99.0,1,.,68.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,6400,6150,4675,4675,5800,5800,.,.,68,68,68,68,68,.,.,.,.,.,0,0,0,0,0,93.5,0,0,0,0,0,0,0,0,93.5,0,0,0,0,0,0,0,0,93.5,0,0,0,0,0,0,0,0,93.5,0,0,0
240,L-HISTIDINA HCl,,,99.0,1,0.5,125.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,16.6,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,1782,1782,.,.,125.3,125.3,125.3,125.3,125.3,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,ALMIDON 96,,,97.0,3,0.15,0.0,0.0,0,0.0,0.0,0.0,0.0,96.3,0.0,99.5,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,.,1.3,1.36,.,.,.,.,.,4030,4030,3230,3230,4030,4030,3900,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,ALMIDON 84,,,89.0,11,0.2,0.0,0.0,0,0.0,0.0,0.0,0.0,84.0,0.0,95.2,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,.,1.19,1.28,.,.,.,.,.,3705,3705,2950,2950,3650,3650,3610,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,SACAROSA,,,99.5,0.5,0.2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,99.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,.,1.32,1.39,.,.,.,.,.,3880,3880,3100,3100,3800,3800,3900,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,DEXTROSA,,,91.5,8.5,0.2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,90.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,.,1.1,1.14,.,.,.,.,.,3600,3600,2880,2880,3300,3300,3500,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,LACTOSA,,,96.5,3.5,0.4,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,96.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,.,1.26,1.29,.,.,.,.,.,3700,3700,2970,2970,2500,2500,3600,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,AC. CITRICO,,,,.,.,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,.,0.96,1.07,.,.,.,.,.,2530,2530,1975,1975,2500,2500,2462,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,AC. FUMARICO,,,,.,.,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,.,1.06,1.16,.,.,.,.,.,2750,2750,2150,2150,2710,2710,2750,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,AC. PROPIONICO,,,,.,.,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,.,1.86,2.15,.,.,.,.,.,4280,4280,3340,3340,4280,4280,4280,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,AC. FORMICO,,,,.,.,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,.,0.55,0.55,.,.,.,.,.,900,900,540,540,900,900,900,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,AC. BUTIRICO,,,,.,.,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,.,2.38,2.7,.,.,.,.,.,5975,5975,4600,4600,5500,5500,5360,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,AC. MALICO,,,,.,.,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,.,0.92,1.06,.,.,.,.,.,2390,2390,1875,1875,2350,2350,2390,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,AC. BENZOICO,,,,.,.,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,AC. ACETICO,,,,.,.,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,.,1.3,1.36,.,.,.,.,.,3300,3300,2500,2500,3480,3480,3300,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,AC. LACTICO,,,,.,.,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,.,1.38,1.59,.,.,.,.,.,3610,3610,2815,2815,3550,3550,3610,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,AC. SORBICO,,,,.,.,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,.,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
